room,day,time_range,value
101,Monday,7:30-12:00,0.5
101,Monday,13:30-16:00,0.5
101,Monday,17:30-19:30,0.5
101,Tuesday,13:30-16:00,0.5
101,Tuesday,15:30-17:00,0.5
101,Wednesday,7:30-12:00,0.5
101,Wednesday,13:30-16:00,0.5
101,Wednesday,17:30-19:30,0.5
101,Thursday,13:30-16:00,0.5
101,Thursday,15:30-17:00,0.5
101,Friday,13:30-16:00,0.5
101,Friday,17:30-19:30,0.5
102,Monday,7:30-16:00,0.5
102,Tuesday,7:30-16:00,0.5
102,Wednesday,7:30-16:00,0.5
102,Thursday,7:30-16:00,0.5
103,Monday,7:30-8:00,0.5
103,Monday,8:00-8:30,0.5
103,Monday,8:30-9:00,0.5
103,Monday,9:00-9:30,0.5
103,Monday,9:30-10:00,0.5
103,Monday,10:00-10:30,0.5
103,Monday,10:30-11:00,0.5
103,Monday,11:00-11:30,0.5
103,Monday,11:30-12:00,0.5
103,Monday,12:00-12:30,0.5
103,Monday,12:30-13:00,0.5
103,Monday,13:00-13:30,0.5
103,Monday,13:30-14:00,0.5
103,Monday,14:00-14:30,0.5
103,Monday,14:30-15:00,0.5
103,Monday,15:00-15:30,0.5
103,Monday,15:30-16:00,0.5
103,Monday,16:00-16:30,0.5
103,Monday,16:30-17:00,0
103,Monday,17:00-17:30,0
103,Monday,17:30-18:00,0
103,Tuesday,7:30-8:00,0.5
103,Tuesday,8:00-8:30,0.5
103,Tuesday,8:30-9:00,0.5
103,Tuesday,9:00-9:30,0.5
103,Tuesday,9:30-10:00,0.5
103,Tuesday,10:00-10:30,0.5
103,Tuesday,10:30-11:00,0.5
103,Tuesday,11:00-11:30,0.5
103,Tuesday,11:30-12:00,0.5
103,Tuesday,12:00-12:30,0.5
103,Tuesday,12:30-13:00,0.5
103,Tuesday,13:00-13:30,0.5
103,Tuesday,13:30-14:00,0.5
103,Tuesday,14:00-14:30,0.5
103,Tuesday,14:30-15:00,0.5
103,Tuesday,15:00-15:30,0.5
103,Tuesday,15:30-16:00,0.5
103,Tuesday,16:00-16:30,0.5
103,Tuesday,16:30-17:00,0
103,Tuesday,17:00-17:30,0
103,Tuesday,17:30-18:00,0
103,Wednesday,7:30-8:00,0.5
103,Wednesday,8:00-8:30,0.5
103,Wednesday,8:30-9:00,0.5
103,Wednesday,9:00-9:30,0.5
103,Wednesday,9:30-10:00,0.5
103,Wednesday,10:00-10:30,0.5
103,Wednesday,10:30-11:00,0.5
103,Wednesday,11:00-11:30,0.5
103,Wednesday,11:30-12:00,0.5
103,Wednesday,12:00-12:30,0.5
103,Wednesday,12:30-13:00,0.5
103,Wednesday,13:00-13:30,0.5
103,Wednesday,13:30-14:00,0.5
103,Wednesday,14:00-14:30,0.5
103,Wednesday,14:30-15:00,0.5
103,Wednesday,15:00-15:30,0.5
103,Wednesday,15:30-16:00,0.5
103,Wednesday,16:00-16:30,0.5
103,Wednesday,16:30-17:00,0
103,Wednesday,17:00-17:30,0
103,Wednesday,17:30-18:00,0
103,Thursday,7:30-8:00,0.5
103,Thursday,8:00-8:30,0.5
103,Thursday,8:30-9:00,0.5
103,Thursday,9:00-9:30,0.5
103,Thursday,9:30-10:00,0.5
103,Thursday,10:00-10:30,0.5
103,Thursday,10:30-11:00,0.5
103,Thursday,11:00-11:30,0.5
103,Thursday,11:30-12:00,0.5
103,Thursday,12:00-12:30,0.5
103,Thursday,12:30-13:00,0.5
103,Thursday,13:00-13:30,0.5
103,Thursday,13:30-14:00,0.5
103,Thursday,14:00-14:30,0.5
103,Thursday,14:30-15:00,0.5
103,Thursday,15:00-15:30,0.5
103,Thursday,15:30-16:00,0.5
103,Thursday,16:00-16:30,0.5
103,Thursday,16:30-17:00,0
103,Thursday,17:00-17:30,0
103,Thursday,17:30-18:00,0
104,Monday,10:30-11:00,0.5
104,Monday,11:00-11:30,0.5
104,Monday,11:30-12:00,0.5
104,Monday,12:00-12:30,0.5
104,Monday,12:30-13:00,0.5
104,Monday,13:00-13:30,0.5
104,Monday,13:30-14:00,0.5
104,Monday,14:00-14:30,0.5
104,Monday,14:30-15:00,0.5
104,Monday,15:00-15:30,0.5
104,Monday,15:30-16:00,0.5
104,Monday,16:00-16:30,0.5
104,Monday,16:30-17:00,0.5
104,Monday,17:00-17:30,0.5
104,Monday,17:30-18:00,0.5
104,Monday,18:00-18:30,0.5
104,Monday,18:30-19:00,0.5
104,Monday,19:00-19:30,0.5
104,Tuesday,10:30-11:00,0.5
104,Tuesday,11:00-11:30,0.5
104,Tuesday,11:30-12:00,0.5
104,Tuesday,12:00-12:30,0.5
104,Tuesday,12:30-13:00,0.5
104,Tuesday,13:00-13:30,0.5
104,Tuesday,13:30-14:00,0.5
104,Tuesday,14:00-14:30,0.5
104,Tuesday,14:30-15:00,0.5
104,Tuesday,15:00-15:30,0.5
104,Tuesday,15:30-16:00,0.5
104,Tuesday,16:00-16:30,0.5
104,Tuesday,16:30-17:00,0.5
104,Tuesday,17:00-17:30,0.5
104,Tuesday,17:30-18:00,0.5
104,Tuesday,18:00-18:30,0.5
104,Tuesday,18:30-19:00,0.5
104,Tuesday,19:00-19:30,0.5
104,Wednesday,10:30-11:00,0.5
104,Wednesday,11:00-11:30,0.5
104,Wednesday,11:30-12:00,0.5
104,Wednesday,12:00-12:30,0.5
104,Wednesday,12:30-13:00,0.5
104,Wednesday,13:00-13:30,0.5
104,Wednesday,13:30-14:00,0.5
104,Wednesday,14:00-14:30,0.5
104,Wednesday,14:30-15:00,0.5
104,Wednesday,15:00-15:30,0.5
104,Wednesday,15:30-16:00,0.5
104,Wednesday,16:00-16:30,0.5
104,Wednesday,16:30-17:00,0.5
104,Wednesday,17:00-17:30,0.5
104,Wednesday,17:30-18:00,0.5
104,Wednesday,18:00-18:30,0.5
104,Wednesday,18:30-19:00,0.5
104,Wednesday,19:00-19:30,0.5
104,Thursday,10:30-11:00,0.5
104,Thursday,11:00-11:30,0.5
104,Thursday,11:30-12:00,0.5
104,Thursday,12:00-12:30,0.5
104,Thursday,12:30-13:00,0.5
104,Thursday,13:00-13:30,0.5
104,Thursday,13:30-14:00,0.5
104,Thursday,14:00-14:30,0.5
104,Thursday,14:30-15:00,0.5
104,Thursday,15:00-15:30,0.5
104,Thursday,15:30-16:00,0.5
104,Thursday,16:00-16:30,0.5
104,Thursday,16:30-17:00,0.5
104,Thursday,17:00-17:30,0.5
104,Thursday,17:30-18:00,0.5
104,Thursday,18:00-18:30,0.5
104,Thursday,18:30-19:00,0.5
104,Thursday,19:00-19:30,0.5
105,Monday,7:30-8:00,0.5
105,Monday,8:00-8:30,0.5
105,Monday,8:30-9:00,0.5
105,Monday,9:00-9:30,0.5
105,Monday,9:30-10:00,0.5
105,Monday,10:00-10:30,0.5
105,Monday,10:30-11:00,0.5
105,Monday,11:00-11:30,0.5
105,Monday,11:30-12:00,0.5
105,Monday,12:00-12:30,0.5
105,Monday,12:30-13:00,0.5
105,Monday,13:00-13:30,0.5
105,Monday,13:30-14:00,0
105,Monday,14:00-14:30,0
105,Monday,14:30-15:00,0
105,Monday,15:00-15:30,0
105,Monday,15:30-16:00,0
105,Monday,16:00-16:30,0
105,Monday,16:30-17:00,0
105,Monday,17:00-17:30,0
105,Monday,17:30-18:00,0
105,Tuesday,7:30-8:00,0.5
105,Tuesday,8:00-8:30,0.5
105,Tuesday,8:30-9:00,0.5
105,Tuesday,9:00-9:30,0.5
105,Tuesday,9:30-10:00,0.5
105,Tuesday,10:00-10:30,0.5
105,Tuesday,10:30-11:00,0.5
105,Tuesday,11:00-11:30,0.5
105,Tuesday,11:30-12:00,0.5
105,Tuesday,12:00-12:30,0.5
105,Tuesday,12:30-13:00,0.5
105,Tuesday,13:00-13:30,0.5
105,Tuesday,13:30-14:00,0.5
105,Tuesday,14:00-14:30,0.5
105,Tuesday,14:30-15:00,0.5
105,Tuesday,15:00-15:30,0.5
105,Tuesday,15:30-16:00,0.5
105,Tuesday,16:00-16:30,0.5
105,Tuesday,16:30-17:00,0.5
105,Tuesday,17:00-17:30,0.5
105,Tuesday,17:30-18:00,0.5
105,Tuesday,18:00-18:30,0.5
105,Tuesday,18:30-19:00,0.5
105,Tuesday,19:00-19:30,0.5
105,Wednesday,7:30-8:00,0.5
105,Wednesday,8:00-8:30,0.5
105,Wednesday,8:30-9:00,0.5
105,Wednesday,9:00-9:30,0.5
105,Wednesday,9:30-10:00,0.5
105,Wednesday,10:00-10:30,0.5
105,Wednesday,10:30-11:00,0
105,Wednesday,11:00-11:30,0
105,Wednesday,11:30-12:00,0
105,Wednesday,12:00-12:30,0
105,Wednesday,12:30-13:00,0
105,Wednesday,13:00-13:30,0
105,Wednesday,13:30-14:00,0
105,Wednesday,14:00-14:30,0
105,Wednesday,14:30-15:00,0
105,Wednesday,15:00-15:30,0
105,Wednesday,15:30-16:00,0
105,Wednesday,16:00-16:30,0
105,Wednesday,16:30-17:00,0
105,Wednesday,17:00-17:30,0
105,Wednesday,17:30-18:00,0
105,Thursday,7:30-8:00,0.5
105,Thursday,8:00-8:30,0.5
105,Thursday,8:30-9:00,0.5
105,Thursday,9:00-9:30,0.5
105,Thursday,9:30-10:00,0.5
105,Thursday,10:00-10:30,0.5
105,Thursday,10:30-11:00,0
105,Thursday,11:00-11:30,0
105,Thursday,11:30-12:00,0
105,Thursday,12:00-12:30,0
105,Thursday,12:30-13:00,0
105,Thursday,13:00-13:30,0
105,Thursday,13:30-14:00,0
105,Thursday,14:00-14:30,0
105,Thursday,14:30-15:00,0
105,Thursday,15:00-15:30,0
105,Thursday,15:30-16:00,0
105,Thursday,16:00-16:30,0
105,Thursday,16:30-17:00,0
105,Thursday,17:00-17:30,0
105,Thursday,17:30-18:00,0
105,Friday,7:30-8:00,0.5
105,Friday,8:00-8:30,0.5
105,Friday,8:30-9:00,0.5
105,Friday,9:00-9:30,0.5
105,Friday,9:30-10:00,0.5
105,Friday,10:00-10:30,0.5
105,Friday,10:30-11:00,0
105,Friday,11:00-11:30,0
105,Friday,11:30-12:00,0
105,Friday,12:00-12:30,0
105,Friday,12:30-13:00,0
105,Friday,13:00-13:30,0
105,Friday,13:30-14:00,0
105,Friday,14:00-14:30,0
105,Friday,14:30-15:00,0
105,Friday,15:00-15:30,0.5
105,Friday,15:30-16:00,0.5
105,Friday,16:00-16:30,0.5
105,Friday,16:30-17:00,0.5
105,Friday,17:00-17:30,0.5
105,Friday,17:30-18:00,0.5
105,Saturday,10:30-11:00,0.5
105,Saturday,11:00-11:30,0.5
105,Saturday,11:30-12:00,0.5
105,Saturday,12:00-12:30,0.5
105,Saturday,12:30-13:00,0.5
105,Saturday,13:00-13:30,0.5
105,Saturday,13:30-14:00,0
105,Saturday,14:00-14:30,0
105,Saturday,14:30-15:00,0
105,Saturday,15:00-15:30,0.5
105,Saturday,15:30-16:00,0.5
105,Saturday,16:00-16:30,0.5
105,Saturday,16:30-17:00,0.5
105,Saturday,17:00-17:30,0.5
105,Saturday,17:30-18:00,0.5
106,Tuesday,8:00-8:30,0
106,Tuesday,8:30-9:00,0
106,Tuesday,9:00-9:30,0
106,Tuesday,9:30-10:00,0
106,Tuesday,10:00-10:30,0
106,Tuesday,11:30-12:00,0.5
106,Tuesday,12:00-12:30,0.5
106,Tuesday,12:30-13:00,0.5
106,Tuesday,13:00-13:30,0.5
106,Thursday,8:00-8:30,0
106,Thursday,8:30-9:00,0
106,Thursday,9:00-9:30,0
106,Thursday,9:30-10:00,0
106,Thursday,10:00-10:30,0
106,Thursday,10:30-11:00,0.5
106,Thursday,11:00-11:30,0.5
106,Thursday,11:30-12:00,0.5
106,Thursday,12:00-12:30,0.5
106,Thursday,12:30-13:00,0.5
106,Thursday,13:00-13:30,0.5
108,Monday,10:30-11:00,0.5
108,Monday,11:00-11:30,0.5
108,Monday,11:30-12:00,0.5
108,Monday,12:00-12:30,0.5
108,Monday,12:30-13:00,0.5
108,Monday,13:00-13:30,0.5
108,Tuesday,10:30-11:00,0.5
108,Tuesday,11:00-11:30,0.5
108,Tuesday,11:30-12:00,0.5
108,Tuesday,12:00-12:30,0.5
108,Tuesday,12:30-13:00,0.5
108,Tuesday,13:00-13:30,0.5
108,Wednesday,7:30-8:00,0.5
108,Wednesday,8:00-8:30,0.5
108,Wednesday,8:30-9:00,0.5
108,Wednesday,9:00-9:30,0.5
108,Wednesday,9:30-10:00,0.5
108,Wednesday,10:00-10:30,0.5
108,Wednesday,10:30-11:00,0.5
108,Wednesday,11:00-11:30,0.5
108,Wednesday,11:30-12:00,0.5
108,Wednesday,12:00-12:30,0.5
108,Wednesday,12:30-13:00,0.5
108,Wednesday,13:00-13:30,0.5
108,Thursday,10:30-11:00,0.5
108,Thursday,11:00-11:30,0.5
108,Thursday,11:30-12:00,0.5
108,Thursday,12:00-12:30,0.5
108,Thursday,12:30-13:00,0.5
108,Thursday,13:00-13:30,0.5
108,Friday,7:30-8:00,0.5
108,Friday,8:00-8:30,0.5
108,Friday,8:30-9:00,0.5
108,Friday,9:00-9:30,0.5
108,Friday,9:30-10:00,0.5
108,Friday,10:00-10:30,0.5
108,Saturday,7:30-8:00,0.5
108,Saturday,8:00-8:30,0.5
108,Saturday,8:30-9:00,0.5
108,Saturday,9:00-9:30,0.5
108,Saturday,9:30-10:00,0.5
108,Saturday,10:00-10:30,0.5
108,Saturday,10:30-11:00,0.5
108,Saturday,11:00-11:30,0.5
108,Saturday,11:30-12:00,0.5
108,Saturday,12:00-12:30,0.5
108,Saturday,12:30-13:00,0.5
108,Saturday,13:00-13:30,0.5
109,Wednesday,7:30-8:00,0.5
109,Wednesday,8:00-8:30,0.5
109,Wednesday,8:30-9:00,0.5
109,Wednesday,9:00-9:30,0.5
109,Wednesday,9:30-10:00,0.5
109,Wednesday,10:00-10:30,0.5
111,Monday,10:30-11:00,0.5
111,Monday,11:00-11:30,0.5
111,Monday,11:30-12:00,0.5
111,Monday,12:00-12:30,0.5
111,Monday,12:30-13:00,0.5
111,Monday,13:00-13:30,0.5
111,Monday,13:30-14:00,0.5
111,Monday,14:00-14:30,0.5
111,Monday,14:30-15:00,0.5
111,Monday,15:00-15:30,0.5
111,Monday,15:30-16:00,0.5
111,Monday,16:00-16:30,0.5
111,Monday,16:30-17:00,0
111,Monday,17:00-17:30,0
111,Monday,17:30-18:00,0
111,Tuesday,13:30-14:00,0.5
111,Tuesday,14:00-14:30,0.5
111,Tuesday,14:30-15:00,0.5
111,Tuesday,15:00-15:30,0.5
111,Tuesday,15:30-16:00,0.5
111,Tuesday,16:00-16:30,0.5
111,Tuesday,16:30-17:00,0.5
111,Tuesday,17:00-17:30,0.5
111,Tuesday,17:30-18:00,0.5
111,Tuesday,18:00-18:30,0.5
111,Tuesday,18:30-19:00,0.5
111,Tuesday,19:00-19:30,0.5
111,Wednesday,10:30-11:00,0.5
111,Wednesday,11:00-11:30,0.5
111,Wednesday,11:30-12:00,0.5
111,Wednesday,12:00-12:30,0.5
111,Wednesday,12:30-13:00,0.5
111,Wednesday,13:00-13:30,0.5
111,Wednesday,13:30-14:00,0.5
111,Wednesday,14:00-14:30,0.5
111,Wednesday,14:30-15:00,0.5
111,Wednesday,15:00-15:30,0.5
111,Wednesday,15:30-16:00,0.5
111,Wednesday,16:00-16:30,0.5
111,Wednesday,16:30-17:00,0
111,Wednesday,17:00-17:30,0
111,Wednesday,17:30-18:00,0
111,Thursday,13:30-14:00,0.5
111,Thursday,14:00-14:30,0.5
111,Thursday,14:30-15:00,0.5
111,Thursday,15:00-15:30,0.5
111,Thursday,15:30-16:00,0.5
111,Thursday,16:00-16:30,0.5
111,Thursday,16:30-17:00,0.5
111,Thursday,17:00-17:30,0.5
111,Thursday,17:30-18:00,0.5
111,Thursday,18:00-18:30,0.5
111,Thursday,18:30-19:00,0.5
111,Friday,13:30-14:00,0.5
111,Friday,14:00-14:30,0.5
111,Friday,14:30-15:00,0.5
111,Friday,15:00-15:30,0.5
111,Friday,15:30-16:00,0.5
111,Friday,16:00-16:30,0.5
111,Friday,16:30-17:00,0
111,Friday,17:00-17:30,0
111,Friday,17:30-18:00,0